ZIP Code,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,Land Area,Water Area,Latitude,Longitude
48767,48767,B5,G6350,S,192815144,26877621,+43.6505180,-083.4631542
39561,39561,B5,G6350,S,72849710,90982,+30.7025160,-089.1548832
42431,42431,B5,G6350,S,431514537,15296948,+37.3345390,-087.4811859
42436,42436,B5,G6350,S,48444668,373114,+37.4498319,-087.5201329
48768,48768,B5,G6350,S,271800624,1570065,+43.3708306,-083.5775391
48770,48770,B5,G6350,S,175682123,149723,+44.2511832,-083.8141843
39562,39562,B5,G6350,S,486804735,11112081,+30.5466824,-088.4894517
42437,42437,B5,G6350,S,449303158,23027573,+37.6666566,-087.9380705
95825,95825,B5,G6350,S,12243714,16889,+38.5918966,-121.4084670
95826,95826,B5,G6350,S,29834656,404577,+38.5438486,-121.3782843
95827,95827,B5,G6350,S,19972082,306584,+38.5561199,-121.3242596
95828,95828,B5,G6350,S,31909662,0,+38.4887898,-121.3958378
95829,95829,B5,G6350,S,53821813,11789,+38.4895460,-121.3234520
95830,95830,B5,G6350,S,33562382,172211,+38.4905076,-121.2841712
95831,95831,B5,G6350,S,18199582,1410202,+38.4957873,-121.5302555
95832,95832,B5,G6350,S,21652498,1288361,+38.4474133,-121.4961382
95833,95833,B5,G6350,S,20071719,969057,+38.6190485,-121.5175516
33573,33573,B5,G6350,S,45698339,2236158,+27.7228601,-082.3569228
37336,37336,B5,G6350,S,112435520,6975481,+35.3088425,-084.9315118
33576,33576,B5,G6350,S,41075689,290600,+28.3357407,-082.3378360
37337,37337,B5,G6350,S,162966545,140753,+35.7870560,-084.8506641
37338,37338,B5,G6350,S,195021395,199083,+35.4297867,-085.2095188
37339,37339,B5,G6350,S,90883392,0,+35.3799587,-085.6342303
37340,37340,B5,G6350,S,32178884,3548851,+35.0340631,-085.5175194
33578,33578,B5,G6350,S,55781087,6383348,+27.8622004,-082.3500444
37341,37341,B5,G6350,S,81298987,27041355,+35.2241762,-085.0732942
33579,33579,B5,G6350,S,55315407,1347399,+27.7968676,-082.2870817
37342,37342,B5,G6350,S,199740818,150607,+35.3919677,-085.9479998
33584,33584,B5,G6350,S,55497989,2102863,+28.0054554,-082.2943370
33585,33585,B5,G6350,S,44401322,868135,+28.7302331,-082.0860832
33592,33592,B5,G6350,S,126929742,5234374,+28.1018705,-082.2832358
37343,37343,B5,G6350,S,108928136,10450131,+35.1665869,-085.2122574
37345,37345,B5,G6350,S,148745395,307,+35.0168286,-086.2030409
33594,33594,B5,G6350,S,26816890,1120500,+27.9409344,-082.2424794
33596,33596,B5,G6350,S,30197788,947891,+27.8872006,-082.2258519
37347,37347,B5,G6350,S,125583135,14295307,+35.0634681,-085.6134179
37348,37348,B5,G6350,S,93213866,318007,+35.1316145,-086.4340510
37350,37350,B5,G6350,S,3755577,0,+34.9939205,-085.3501840
61820,61820,B5,G6350,S,16909281,22734,+40.1078904,-088.2442663
53406,53406,B5,G6350,S,42983471,137356,+42.7345360,-087.8648925
53501,53501,B5,G6350,S,168878,0,+42.6062097,-089.0654992
53502,53502,B5,G6350,S,132600223,328309,+42.7304062,-089.4380687
53503,53503,B5,G6350,S,146315768,3920206,+43.1429758,-089.9575065
61821,61821,B5,G6350,S,19480045,76441,+40.1096457,-088.2749032
53504,53504,B5,G6350,S,236309921,2052068,+42.7035159,-089.8603490
53505,53505,B5,G6350,S,47697270,2673,+42.6610738,-088.8208971
53506,53506,B5,G6350,S,163988835,4784486,+43.1648264,-090.2864290
53507,53507,B5,G6350,S,163014380,63154,+42.9842706,-089.9140249
53508,53508,B5,G6350,S,179874316,1021905,+42.8661878,-089.5755816
61822,61822,B5,G6350,S,281401310,544914,+40.1389745,-088.3061785
53510,53510,B5,G6350,S,108864559,249522,+42.7453556,-090.3052377
61830,61830,B5,G6350,S,98571314,133360,+40.0330783,-088.7165082
61831,61831,B5,G6350,S,30081629,0,+40.2250902,-087.7920697
53511,53511,B5,G6350,S,286235081,3571672,+42.5542425,-089.0945352
53515,53515,B5,G6350,S,96072033,144678,+43.1150041,-089.7393383
53516,53516,B5,G6350,S,215574605,55767,+42.7969497,-089.8735289
53517,53517,B5,G6350,S,114711215,298,+43.0569828,-089.8323294
61832,61832,B5,G6350,S,67130619,2965804,+40.1362337,-087.6364661
53518,53518,B5,G6350,S,194354664,8466811,+43.2409890,-090.5951299
61833,61833,B5,G6350,S,4036631,29094,+40.0997467,-087.6442201
53520,53520,B5,G6350,S,318320857,1920637,+42.5968217,-089.3527363
53521,53521,B5,G6350,S,158652656,431381,+42.8381054,-089.4003023
61834,61834,B5,G6350,S,277930001,1443273,+40.1525459,-087.6732983
53522,53522,B5,G6350,S,100325873,365796,+42.5569093,-089.7834898
61839,61839,B5,G6350,S,86254139,0,+40.1377167,-088.6291664
61840,61840,B5,G6350,S,86480805,193160,+40.2988731,-088.3002628
53523,53523,B5,G6350,S,125571603,3173887,+42.9844090,-089.0288391
61841,61841,B5,G6350,S,149778582,801668,+40.0205942,-087.8168712
53525,53525,B5,G6350,S,144624871,389089,+42.5445354,-088.8586562
02457,02457,B5,G6350,S,413238,0,+42.2993878,-071.2742420
02458,02458,B5,G6350,S,5171347,86768,+42.3535846,-071.1881919
02459,02459,B5,G6350,S,12958671,254764,+42.3147789,-071.1920167
02460,02460,B5,G6350,S,3480845,22012,+42.3518240,-071.2084904
02461,02461,B5,G6350,S,3768931,41434,+42.3173616,-071.2065077
02462,02462,B5,G6350,S,1367330,58332,+42.3287076,-071.2559002
02464,02464,B5,G6350,S,1460811,23675,+42.3129751,-071.2188818
02465,02465,B5,G6350,S,5807431,1401,+42.3489119,-071.2263300
02466,02466,B5,G6350,S,4634935,207388,+42.3444566,-071.2486166
02467,02467,B5,G6350,S,12621094,142135,+42.3143213,-071.1527779
02468,02468,B5,G6350,S,3837204,56179,+42.3285530,-071.2295297
02472,02472,B5,G6350,S,10455352,344302,+42.3694508,-071.1779249
02474,02474,B5,G6350,S,7900552,690129,+42.4209494,-071.1563695
02476,02476,B5,G6350,S,5420706,191590,+42.4156366,-071.1756700
02478,02478,B5,G6350,S,12026979,183393,+42.3953169,-071.1802841
02481,02481,B5,G6350,S,14610691,251043,+42.3119471,-071.2755167
02482,02482,B5,G6350,S,10910005,1042544,+42.2930990,-071.2985351
02492,02492,B5,G6350,S,24709593,847335,+42.2764827,-071.2437138
02493,02493,B5,G6350,S,43564243,1327828,+42.3605016,-071.3034335
02494,02494,B5,G6350,S,7164572,221652,+42.2994895,-071.2325194
02532,02532,B5,G6350,S,36962585,6867296,+41.7517590,-070.5975518
02534,02534,B5,G6350,S,5926616,1489952,+41.6689421,-070.6194072
02535,02535,B5,G6350,S,63114990,65883546,+41.3379606,-070.7616743
75098,75098,B5,G6350,S,85311954,20359212,+33.0121346,-096.5349358
75101,75101,B5,G6350,S,2130983,0,+32.2700320,-096.7024944
75102,75102,B5,G6350,S,157209931,1547624,+32.0579379,-096.6325473
75103,75103,B5,G6350,S,516408849,8411316,+32.5169296,-095.8835471
75104,75104,B5,G6350,S,101201008,653200,+32.5848142,-096.9723118
75105,75105,B5,G6350,S,133025917,1938590,+32.2630103,-096.3876628
75109,75109,B5,G6350,S,301192403,70923039,+32.0427838,-096.3437540
75110,75110,B5,G6350,S,388359841,3480380,+32.0846136,-096.5277676
75114,75114,B5,G6350,S,112014047,1126841,+32.6105754,-096.4442563
75115,75115,B5,G6350,S,56803514,86404,+32.5994271,-096.8640746
75116,75116,B5,G6350,S,13264641,15027,+32.6606604,-096.9118821
75117,75117,B5,G6350,S,121466626,862066,+32.7150128,-095.8544608
75119,75119,B5,G6350,S,686059140,23744610,+32.3258474,-096.5885749
75124,75124,B5,G6350,S,240997992,5174698,+32.3260260,-095.9740558
75125,75125,B5,G6350,S,180443428,2061983,+32.5366996,-096.6217469
75126,75126,B5,G6350,S,200280205,2406600,+32.7426013,-096.4528828
75127,75127,B5,G6350,S,68840662,1135672,+32.6902949,-095.7899320
75132,75132,B5,G6350,S,3839144,1391,+32.9457476,-096.3738828
75134,75134,B5,G6350,S,26468507,30531,+32.6176630,-096.7780575
75135,75135,B5,G6350,S,160987877,230738,+33.0663446,-096.2214374
48472,48472,B5,G6350,S,197710189,94550,+43.5123231,-082.9632121
48473,48473,B5,G6350,S,152756738,312768,+42.9370622,-083.8204538
42025,42025,B5,G6350,S,514610307,50921995,+36.8569236,-088.3347141
48475,48475,B5,G6350,S,278838841,119075,+43.6731558,-082.9479871
48476,48476,B5,G6350,S,688512,20556,+42.9387067,-084.0300499
48502,48502,B5,G6350,S,1023341,10356,+43.0137267,-083.6883757
42027,42027,B5,G6350,S,116922925,1409962,+36.9166709,-088.6276857
42028,42028,B5,G6350,S,70221621,1382293,+37.2389100,-088.3368482
42029,42029,B5,G6350,S,120531251,5898182,+37.0064721,-088.3919601
48503,48503,B5,G6350,S,21254592,358424,+42.9999143,-083.7088865
42031,42031,B5,G6350,S,389446927,4996006,+36.6857478,-088.9913973
42032,42032,B5,G6350,S,4212651,1242948,+36.7758047,-089.1080665
42035,42035,B5,G6350,S,72828680,819631,+36.9002256,-088.8403820
42036,42036,B5,G6350,S,68722876,284301,+36.7115210,-088.2145438
42037,42037,B5,G6350,S,2644129,0,+37.1727808,-088.1877067
48504,48504,B5,G6350,S,40055000,123093,+43.0547248,-083.7437448
42038,42038,B5,G6350,S,226722436,29285205,+37.0474135,-088.0276468
42039,42039,B5,G6350,S,131962787,2661707,+36.7887093,-088.8254336
42040,42040,B5,G6350,S,84993570,543451,+36.6252956,-088.4970733
42041,42041,B5,G6350,S,285197445,1708139,+36.5503732,-088.8773521
48505,48505,B5,G6350,S,32526716,918065,+43.0703107,-083.6861174
29324,29324,B5,G6350,S,567781,32402,+34.9836863,-081.8266352
29325,29325,B5,G6350,S,400109073,2009574,+34.4682056,-081.8451835
27030,27030,B5,G6350,S,441866831,2813878,+36.4898143,-080.6292139
27040,27040,B5,G6350,S,69138802,848438,+36.1693118,-080.3930448
27041,27041,B5,G6350,S,152796802,942300,+36.4252534,-080.4871973
27042,27042,B5,G6350,S,22386529,233457,+36.3528190,-080.0642026
27043,27043,B5,G6350,S,185554307,1778801,+36.3345944,-080.4517305
27045,27045,B5,G6350,S,60004623,179108,+36.2343984,-080.2960701
27046,27046,B5,G6350,S,105528892,336500,+36.5022187,-080.0782643
27047,27047,B5,G6350,S,52606668,591771,+36.3141343,-080.5691122
27048,27048,B5,G6350,S,214926307,1080501,+36.4825144,-079.9176781
27050,27050,B5,G6350,S,64460965,616829,+36.2264423,-080.4097074
27051,27051,B5,G6350,S,47588610,97440,+36.1959455,-080.1534011
27052,27052,B5,G6350,S,271483967,8837288,+36.3207550,-080.1504527
27053,27053,B5,G6350,S,175075272,1008523,+36.4742760,-080.3478503
27054,27054,B5,G6350,S,75557920,110518,+35.7925404,-080.5978879
27055,27055,B5,G6350,S,277351197,1999477,+36.1139068,-080.6311936
27101,27101,B5,G6350,S,33066197,765169,+36.1108495,-080.2004303
27103,27103,B5,G6350,S,48042255,279785,+36.0582299,-080.3214959
27104,27104,B5,G6350,S,31929945,52867,+36.0936873,-080.3235320
27105,27105,B5,G6350,S,87147374,235861,+36.1633767,-080.2337873
27106,27106,B5,G6350,S,74203474,869452,+36.1439097,-080.3231573
27107,27107,B5,G6350,S,168506967,1428804,+36.0131579,-080.1754914
27109,27109,B5,G6350,S,501901,0,+36.1339281,-080.2776346
27110,27110,B5,G6350,S,488557,0,+36.0892596,-080.2249598
27127,27127,B5,G6350,S,77028468,562188,+36.0207083,-080.2798166
43469,43469,B5,G6350,S,59906631,79779,+41.4603686,-083.3645499
